Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
63.871,-87.5,58.071000000000005,44.943999999999996,60.541000000000004,15.597000000000001
75.484,-87.5,53.016999999999996,41.402,61.385,19.983
87.09700000000001,-87.5,53.263000000000005,38.491,59.132,20.641
98.71,-87.5,64.726,57.31,64.726,7.416
110.323,-87.5,64.095,58.601000000000006,64.095,5.494
121.935,-87.5,61.31399999999999,59.148999999999994,61.31399999999999,2.165
133.548,-87.5,67.38600000000001,59.721000000000004,67.38600000000001,7.665
145.161,-87.5,66.471,61.091,73.837,12.745999999999999
156.774,-87.5,64.888,56.70399999999999,67.17,10.466
168.387,-87.5,59.818000000000005,59.818000000000005,62.158,2.34
180.0,-87.5,59.308,56.123000000000005,62.173,6.05
-180.0,-87.0,60.992,52.535,64.067,11.532
-170.52599999999998,-87.0,55.206,47.951,61.106,13.155
-161.053,-87.0,53.098,46.687,59.298,12.610999999999999
-151.579,-87.0,49.472,45.86600000000001,54.278,8.412
-142.105,-87.0,57.229,52.278999999999996,60.325,8.046
-132.632,-87.0,56.806999999999995,51.053999999999995,59.69,8.636000000000001
-123.15799999999999,-87.0,57.50899999999999,54.839,61.244,6.405
-113.684,-87.0,60.632,59.298,63.942,4.644
-104.211,-87.0,69.307,63.443000000000005,72.58800000000001,9.145
-94.73700000000001,-87.0,70.297,65.164,74.46,9.296
-85.26299999999999,-87.0,69.27199999999999,65.087,73.85,8.763
-75.789,-87.0,64.128,64.128,68.695,4.567
-66.316,-87.0,55.732,55.732,66.873,11.140999999999998
-56.842,-87.0,50.409,48.88,60.597,11.717
-47.368,-87.0,55.571000000000005,49.992,65.426,15.434000000000001
-37.895,-87.0,56.51,54.937,63.425,8.488
-28.421,-87.0,56.917,52.809,62.663999999999994,9.855
-18.947,-87.0,58.20399999999999,50.659,64.75,14.091
-9.474,-87.0,58.683,50.667,62.833,12.165999999999999
0.0,-87.0,62.312,51.923,69.042,17.119
9.474,-87.0,59.78,53.461000000000006,69.09,15.629000000000001
18.947,-87.0,60.982,51.471000000000004,64.587,13.116
28.421,-87.0,60.637,50.812,60.637,9.825
37.895,-87.0,57.754,51.025,57.754,6.729
47.368,-87.0,59.055,52.273,59.055,6.782
56.842,-87.0,56.968999999999994,40.463,64.556,24.093000000000004
66.316,-87.0,56.086000000000006,45.355,63.47,18.115
75.789,-87.0,50.918,40.535,61.303999999999995,20.769000000000002
85.26299999999999,-87.0,51.263000000000005,36.641999999999996,59.721000000000004,23.079
94.73700000000001,-87.0,62.858999999999995,49.424,62.858999999999995,13.435
104.211,-87.0,65.186,60.126999999999995,65.186,5.059
113.684,-87.0,64.814,58.849,64.814,5.965
123.15799999999999,-87.0,63.129,57.33,63.129,5.7989999999999995
132.632,-87.0,67.137,61.54,67.137,5.597
142.105,-87.0,68.042,64.208,74.925,10.717
151.579,-87.0,61.88399999999999,54.283,68.14,13.857000000000001
161.053,-87.0,58.211999999999996,55.843999999999994,60.423,4.579
170.52599999999998,-87.0,58.543,56.04,60.382,4.342
180.0,-87.0,60.992,52.535,64.067,11.532
-180.0,-86.5,59.757,51.873999999999995,59.757,7.882999999999999
-171.81799999999998,-86.5,55.538000000000004,48.771,62.645,13.874
-163.636,-86.5,64.462,58.794,70.17399999999999,11.38
-155.455,-86.5,53.488,46.68600000000001,62.181999999999995,15.495999999999999
-147.273,-86.5,51.236999999999995,44.62,55.568000000000005,10.948
-139.091,-86.5,60.333999999999996,50.332,60.333999999999996,10.002
-130.909,-86.5,54.669,50.64,57.568000000000005,6.928
-122.727,-86.5,55.458,50.011,59.832,9.821
-114.545,-86.5,60.631,54.846000000000004,63.902,9.056000000000001
-106.36399999999999,-86.5,60.442,60.442,65.64,5.1979999999999995
-98.182,-86.5,66.854,64.316,72.35600000000001,8.04
-90.0,-86.5,66.753,65.404,69.33,3.926
-81.818,-86.5,65.941,64.295,68.645,4.35
-73.63600000000001,-86.5,56.792,56.792,69.334,12.542
-65.455,-86.5,56.045,56.045,65.388,9.343
-57.273,-86.5,55.836000000000006,53.153999999999996,64.316,11.162
-49.091,-86.5,55.815,55.815,65.374,9.559
-40.909,-86.5,59.401,59.401,65.331,5.93
-32.727,-86.5,55.255,55.255,60.343,5.088
-24.545,-86.5,53.601000000000006,53.601000000000006,61.474,7.872999999999999
-16.364,-86.5,56.607,54.993,61.79600000000001,6.803
-8.182,-86.5,55.833,53.985,60.511,6.526
0.0,-86.5,58.775,52.911,64.333,11.422
8.182,-86.5,58.761,51.419,65.436,14.017000000000001
16.364,-86.5,56.928000000000004,53.763000000000005,64.07300000000001,10.31
24.545,-86.5,58.123999999999995,51.445,65.01,13.565
32.727,-86.5,58.885,54.0,62.091,8.091000000000001
40.909,-86.5,59.787,51.928999999999995,59.787,7.858
49.091,-86.5,61.326,50.766999999999996,61.326,10.559000000000001
57.273,-86.5,53.983000000000004,40.721,58.071999999999996,17.351
65.455,-86.5,53.571000000000005,42.396,56.318999999999996,13.923
73.63600000000001,-86.5,54.93600000000001,43.313,58.123000000000005,14.81
81.818,-86.5,53.013999999999996,41.085,64.57300000000001,23.488000000000003
90.0,-86.5,55.035,36.209,62.786,26.576999999999998
98.182,-86.5,62.218999999999994,51.188,62.218999999999994,11.030999999999999
106.36399999999999,-86.5,65.119,56.97,65.119,8.149
114.545,-86.5,66.442,60.025,66.442,6.417000000000001
122.727,-86.5,64.163,56.284,64.163,7.879
130.909,-86.5,66.729,61.995,66.729,4.734
139.091,-86.5,65.186,59.727,68.149,8.422
147.273,-86.5,63.666000000000004,57.104,70.191,13.087
155.455,-86.5,59.018,55.159,63.6,8.441
163.636,-86.5,56.33,56.33,58.93,2.6
171.81799999999998,-86.5,59.14,56.123000000000005,59.52,3.397
180.0,-86.5,59.757,51.873999999999995,59.757,7.882999999999999
-180.0,-86.0,61.728,48.755,61.728,12.972999999999999
-172.8,-86.0,57.348,54.937,63.423,8.486
-165.6,-86.0,82.444,71.807,84.93700000000001,13.13
-158.4,-86.0,68.67399999999999,66.31,85.65,19.34
-151.2,-86.0,64.633,59.831,69.249,9.418
-144.0,-86.0,57.525,50.788000000000004,62.488,11.7
-136.8,-86.0,64.003,54.842,64.003,9.161
-129.6,-86.0,54.861000000000004,53.262,62.703,9.441
-122.4,-86.0,56.51,56.41,60.238,3.8280000000000003
-115.2,-86.0,62.467,53.81,64.025,10.215
-108.0,-86.0,63.79,58.467,64.50399999999999,6.037000000000001
-100.8,-86.0,61.409,54.753,63.59,8.837
-93.6,-86.0,64.01,60.242,73.097,12.855
-86.4,-86.0,68.697,66.473,72.079,5.606
-79.2,-86.0,66.742,66.742,70.39699999999999,3.655
-72.0,-86.0,58.18899999999999,57.82,71.779,13.959000000000001
-64.8,-86.0,56.184,56.184,68.02,11.835999999999999
-57.6,-86.0,52.997,52.997,58.125,5.127999999999999
-50.4,-86.0,53.391000000000005,53.391000000000005,64.959,11.568
-43.2,-86.0,50.549,50.549,60.766999999999996,10.218
-36.0,-86.0,47.049,47.049,61.2,14.151
-28.8,-86.0,61.891999999999996,55.001000000000005,66.918,11.917
-21.6,-86.0,61.989,52.588,66.81,14.222000000000001
-14.4,-86.0,56.492,53.647,66.85,13.203
-7.2,-86.0,56.863,53.489,60.943999999999996,7.455
0.0,-86.0,59.027,52.523999999999994,63.7,11.175999999999998
7.2,-86.0,58.715,54.58,66.04,11.46
14.4,-86.0,58.911,58.045,63.896,5.851
21.6,-86.0,55.76,54.181000000000004,65.449,11.267999999999999
28.8,-86.0,61.918,54.995,62.382,7.3870000000000005
36.0,-86.0,58.76,54.16,61.817,7.657
43.2,-86.0,60.846000000000004,53.708999999999996,60.846000000000004,7.1370000000000005
50.4,-86.0,62.971000000000004,55.652,62.971000000000004,7.319
57.6,-86.0,56.38399999999999,51.532,56.38399999999999,4.852
64.8,-86.0,60.387,52.193000000000005,60.387,8.193999999999999
72.0,-86.0,62.718999999999994,56.799,62.718999999999994,5.92
79.2,-86.0,62.845,53.786,62.845,9.059
86.4,-86.0,63.403,51.515,66.65,15.135
93.6,-86.0,63.806999999999995,52.213,64.622,12.409
100.8,-86.0,63.208,53.498000000000005,63.278999999999996,9.781
108.0,-86.0,64.641,54.63,64.641,10.011000000000001
115.2,-86.0,63.001000000000005,58.06399999999999,63.001000000000005,4.937
122.4,-86.0,65.375,59.78,65.375,5.595
129.6,-86.0,67.987,58.318000000000005,67.987,9.669
136.8,-86.0,67.755,63.397,69.009,5.612
144.0,-86.0,67.593,60.383,73.413,13.03
151.2,-86.0,62.672,62.672,66.124,3.452
